T2,LRT_Cov,Bayes_Cov,LRT_Size,Bayes_Size
149,95.6,92.4,16.161,12.5375
150,94.89999999999999,92.30000000000001,16.4065,12.688
151,95.89999999999999,92.7,16.63875,12.8775
152,97.1,94.0,16.6775,12.9535
153,95.5,92.5,16.6725,12.9815
154,95.0,91.8,16.8115,13.11675
155,95.8,92.2,17.10925,13.28575
156,95.89999999999999,92.30000000000001,17.226,13.375
157,95.8,92.5,17.4815,13.5315
158,94.3,89.7,17.561,13.59
159,95.39999999999999,92.4,17.86475,13.84325
160,94.89999999999999,91.10000000000001,17.9705,13.9255
161,95.19999999999999,91.5,18.121,14.042
162,94.3,90.4,18.22225,14.103
163,94.1,91.4,18.27425,14.163
164,94.89999999999999,92.30000000000001,18.419,14.3025
165,95.39999999999999,91.4,18.82775,14.55875
166,94.0,90.9,18.86675,14.62025
167,96.1,91.0,19.1735,14.83275
168,95.8,91.9,19.24225,14.8915
169,95.39999999999999,91.2,19.34625,14.98075
170,94.39999999999999,90.8,19.75925,15.25525
171,96.6,92.2,19.93025,15.42125
172,95.7,90.2,19.9245,15.435
173,95.89999999999999,91.9,20.0945,15.59825
174,95.6,91.9,20.36775,15.76825
175,94.5,89.2,20.58125,15.92125
176,95.5,91.7,20.628,15.99525
177,95.19999999999999,90.60000000000001,20.808,16.1215
178,94.6,90.60000000000001,20.89625,16.2485
179,93.30000000000001,89.2,21.13875,16.45675
180,95.19999999999999,89.7,21.38975,16.5715
181,95.39999999999999,90.60000000000001,21.6765,16.7095
182,94.6,91.10000000000001,21.66925,16.807
183,94.89999999999999,89.7,21.91875,16.96475
184,95.0,90.60000000000001,22.11625,17.09925
185,93.8,88.6,22.44975,17.3215
186,94.69999999999999,89.0,22.48675,17.413
187,94.3,91.10000000000001,22.80425,17.59575
188,94.5,90.4,22.772,17.649
189,94.89999999999999,88.9,23.07325,17.9005
190,95.6,88.8,23.10625,17.87975
191,95.8,90.0,23.2665,18.02275
192,94.6,90.10000000000001,23.755,18.41475
193,94.19999999999999,89.1,23.65175,18.34925
194,93.89999999999999,89.1,24.03075,18.658
195,93.7,89.2,24.212,18.77375
196,94.6,88.6,24.38575,18.84425
197,95.7,90.3,24.48425,19.009
198,95.0,90.10000000000001,24.6655,19.1615
199,94.5,90.4,25.06925,19.39175
200,94.8,89.7,25.32,19.58525
201,94.19999999999999,89.2,25.262,19.51
202,94.19999999999999,88.7,25.43775,19.69975
203,94.5,89.60000000000001,25.75775,19.9565
204,93.8,88.5,25.98875,20.14625
205,92.2,87.2,26.25025,20.37325
206,93.8,89.1,26.08525,20.27975
207,94.3,88.6,26.53775,20.57675
208,94.39999999999999,89.8,26.777,20.839
209,92.80000000000001,87.6,26.84725,20.8495
210,93.4,88.0,27.4195,21.19475
211,94.6,90.4,27.3275,21.20275
212,95.1,88.4,27.66425,21.42575
213,93.4,86.6,27.87075,21.62225
214,93.4,88.6,27.99575,21.72025
215,93.4,87.8,28.17125,21.783
216,94.1,86.8,28.383,21.95375
217,94.8,89.5,28.52925,22.1335
218,94.19999999999999,86.4,28.80225,22.3385
219,95.0,88.8,28.99225,22.4815
220,94.5,88.1,29.2965,22.622
221,93.30000000000001,87.3,29.27225,22.72775
222,94.1,88.7,29.72225,22.98175
223,93.5,86.9,29.92375,23.19575
224,92.80000000000001,87.3,30.0355,23.33675
225,93.30000000000001,86.3,30.37125,23.665
226,93.89999999999999,89.0,30.74125,23.748
227,94.8,88.2,30.745,23.91575
228,92.7,86.1,30.626,23.8755
229,93.60000000000001,86.3,31.3115,24.3035
230,92.5,86.3,31.38275,24.40775
231,91.60000000000001,83.89999999999999,31.73,24.63375
232,93.30000000000001,86.2,31.841,24.69925
233,93.5,87.4,32.03475,24.902
234,92.7,86.8,32.08725,24.929
235,91.9,84.1,32.465,25.2115
236,91.8,84.5,32.673,25.416
237,92.4,84.7,32.932,25.54525
238,93.7,86.6,33.35025,25.84575
239,93.4,85.9,33.568,26.0165
240,94.1,87.7,33.919,26.3605
241,92.80000000000001,86.7,33.86175,26.34925
242,92.2,86.2,34.0635,26.432
243,92.80000000000001,86.1,34.1725,26.6875
244,92.80000000000001,85.7,34.795,26.95825
245,92.80000000000001,86.2,34.779,27.00425
246,92.2,86.3,35.10225,27.246
247,92.10000000000001,86.0,35.446,27.4635
248,92.60000000000001,86.5,35.461,27.63925
249,93.0,86.1,36.012,27.862
250,93.0,86.2,35.93575,27.849
251,93.2,85.7,36.325,28.2615
252,90.0,84.2,36.31975,28.32275
253,92.2,85.6,36.45425,28.3855
254,92.5,85.6,37.038,28.82425
255,93.5,86.8,37.212,29.036
256,93.8,86.9,37.50625,29.10675
257,93.0,84.1,37.4675,29.158
258,92.2,85.6,37.8365,29.48125
259,90.8,81.8,37.832,29.384
260,91.2,83.5,37.74975,29.375
261,92.0,84.2,38.01175,29.5805
262,93.60000000000001,85.7,38.56575,30.04675
263,90.0,82.0,38.602,30.07375
264,90.4,84.6,38.6855,30.1455
265,92.60000000000001,84.2,38.932,30.2365
266,91.7,82.39999999999999,38.78,30.19
267,91.7,82.3,38.98025,30.38675
268,91.5,82.69999999999999,39.0265,30.2935
269,93.4,84.39999999999999,38.9355,30.349
270,92.7,83.0,39.10725,30.32275
271,91.8,81.39999999999999,38.76175,30.14975
272,92.7,81.89999999999999,38.6985,30.27
273,91.5,81.2,38.70725,30.1025
274,93.5,82.39999999999999,38.72225,30.14675
275,91.0,81.10000000000001,38.23075,29.736
276,93.60000000000001,83.3,38.088,29.65575
277,92.2,82.3,37.7555,29.3855
278,90.3,80.5,37.3185,29.0325
279,90.8,82.1,37.1745,28.892
280,92.80000000000001,85.6,36.71475,28.56175
281,93.0,84.0,36.19475,28.15475
282,91.8,85.0,35.7085,27.756
283,92.7,84.2,35.602,27.707
284,92.4,85.5,35.28925,27.3325
285,93.89999999999999,86.9,34.49975,26.76925
286,91.9,84.7,33.58025,26.0445
287,93.30000000000001,89.1,33.375,25.84225
288,95.7,90.9,32.9885,25.51425
289,94.5,90.8,31.98225,24.8255
290,94.6,89.7,31.65225,24.6185
